26,cidade alta,-16.0705910,-57.6792540,Cáceres,2026-06-18 20:12:21,2026-06-18 20:12:21,"{""type"":""Polygon"",""coordinates"":[[[-57.676828,-16.072715],[-57.675755,-16.073807],[-57.676077,-16.074837],[-57.680111,-16.072365],[-57.680969,-16.071293],[-57.683783397,-16.070180355],[-57.682545316,-16.067229844],[-57.681489185,-16.067513316],[-57.681485176,-16.067513965],[-57.681481119,-16.067513791],[-57.681481003,-16.067513762],[-57.681479457,-16.067515628],[-57.681476347,-16.067518138],[-57.681472799,-16.067519979],[-57.675919567,-16.06972873],[-57.675236962,-16.071122795],[-57.675234846,-16.071126203],[-57.675233111,-16.071128041],[-57.676828,-16.072715]]]}"
38,aroldo fanaia,-16.0938170,-57.6606050,Cáceres,2026-06-18 20:12:23,2026-06-18 20:12:23,"{""type"":""Polygon"",""coordinates"":[[[-57.667022,-16.095472],[-57.664919,-16.089427],[-57.665799,-16.089149],[-57.665777,-16.088957],[-57.664232,-16.087536],[-57.663545688,-16.086986559],[-57.661844131,-16.088955079],[-57.661842742,-16.088956532],[-57.659010936,-16.091634348],[-57.654633126,-16.096002158],[-57.654629633,-16.096004939],[-57.649098411,-16.099476948],[-57.667022,-16.095472]]]}"
27,lava pés,-16.0751390,-57.6725660,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.674274,-16.072632],[-57.672172,-16.074198],[-57.669983,-16.07461],[-57.667665,-16.075352],[-57.671142,-16.078607],[-57.673588,-16.076505],[-57.676060468,-16.074848079],[-57.676059496,-16.074846675],[-57.676057911,-16.074842968],[-57.675735911,-16.073812968],[-57.675735076,-16.073808739],[-57.675735166,-16.07380443],[-57.675736177,-16.07380024],[-57.675738062,-16.073796364],[-57.675740734,-16.073792983],[-57.676799805,-16.072715159],[-57.675219004,-16.071142218],[-57.675216546,-16.071139248],[-57.675214704,-16.071135862],[-57.67521389,-16.07113328],[-57.675213262,-16.071133159],[-57.675209553,-16.071131628],[-57.675208477,-16.071130904],[-57.674274,-16.072632]]]}"
28,espirito santo,-16.0714410,-57.6692410,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.665949,-16.067247],[-57.664382,-16.072468],[-57.667650007,-16.075338829],[-57.667652302,-16.075336548],[-57.667655432,-16.075334437],[-57.667658903,-16.075332952],[-57.669976903,-16.074590952],[-57.669979301,-16.074590345],[-57.672163758,-16.0741792],[-57.674259019,-16.07261822],[-57.675191498,-16.071120334],[-57.675193947,-16.07111716],[-57.675195088,-16.071116174],[-57.674058766,-16.069702389],[-57.673645522,-16.070138752],[-57.673642428,-16.070141414],[-57.673638858,-16.070143392],[-57.673634961,-16.070144604],[-57.673630899,-16.070145],[-57.673626841,-16.070144563],[-57.673622956,-16.070143311],[-57.669588956,-16.068371311],[-57.669585375,-16.068369275],[-57.669582287,-16.068366547],[-57.669579824,-16.068363245],[-57.669578089,-16.068359509],[-57.669577156,-16.068355496],[-57.669577066,-16.068351377],[-57.669577821,-16.068347327],[-57.669577873,-16.068347201],[-57.665949,-16.067247]]]}"
29,joaquim murtinho,-16.0680160,-57.6580790,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.663438,-16.062428],[-57.649899,-16.060967],[-57.649641,-16.06583],[-57.649984,-16.074319],[-57.666865577,-16.074676356],[-57.6643688,-16.072483026],[-57.664366197,-16.072480258],[-57.664364164,-16.072477048],[-57.664362775,-16.072473512],[-57.664362079,-16.072469777],[-57.664362103,-16.072465977],[-57.664362844,-16.072462251],[-57.665929844,-16.067241251],[-57.665931337,-16.067237618],[-57.665933511,-16.067234347],[-57.665936283,-16.067231564],[-57.665939545,-16.067229376],[-57.665943171,-16.067227868],[-57.665947023,-16.067227098],[-57.66595095,-16.067227095],[-57.665954803,-16.06722786],[-57.669583676,-16.068328061],[-57.669586967,-16.068329448],[-57.670861918,-16.065961824],[-57.670701101,-16.065567842],[-57.67069802,-16.065568867],[-57.670694205,-16.06556936],[-57.670690367,-16.065569113],[-57.668091806,-16.065148743],[-57.668088584,-16.065147943],[-57.665534584,-16.064282943],[-57.665530697,-16.064281142],[-57.665527282,-16.064278554],[-57.665524496,-16.064275297],[-57.664988496,-16.063492297],[-57.66498639,-16.063488326],[-57.664985224,-16.063483984],[-57.664982492,-16.063465875],[-57.663438,-16.062428]]]}"
30,betel,-16.0599440,-57.6575120,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.66052,-16.058599],[-57.657945,-16.05794],[-57.65492,-16.056126],[-57.649917764,-16.060948909],[-57.663440146,-16.062408115],[-57.66344485,-16.06240921],[-57.663449155,-16.0624114],[-57.664978446,-16.06343906],[-57.664727224,-16.061773984],[-57.664727008,-16.061770444],[-57.66472742,-16.061766922],[-57.664728448,-16.061763527],[-57.66473006,-16.061760368],[-57.665093577,-16.061181163],[-57.66052,-16.058599]]]}"
31,jardim padre paulo,-16.0515000,-57.6502320,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.658812856,-16.050280734],[-57.648085291,-16.043479892],[-57.648084811,-16.043479514],[-57.641702,-16.0529],[-57.651695604,-16.059207021],[-57.654906118,-16.056111602],[-57.654909033,-16.056109275],[-57.654912329,-16.05610753],[-57.654915892,-16.056106426],[-57.654919598,-16.056106004],[-57.654923318,-16.056106277],[-57.654926922,-16.056107236],[-57.654930286,-16.056108848],[-57.654931099,-16.056109335],[-57.658812856,-16.050280734]]]}"
32,vila nova,-16.0558600,-57.6615350,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.659953399,-16.051003792],[-57.658834818,-16.050294657],[-57.657931823,-16.051639719],[-57.65494827,-16.056119633],[-57.657952784,-16.057921348],[-57.660524959,-16.058579624],[-57.660529833,-16.058581584],[-57.66510341,-16.061163747],[-57.665104171,-16.061164285],[-57.668110689,-16.056373893],[-57.66811033,-16.056373701],[-57.662963941,-16.052976909],[-57.659953399,-16.051003792]]]}"
33,aeroporto,-16.0455120,-57.6351550,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.635565,-16.035557],[-57.629642,-16.031682],[-57.625523,-16.056672],[-57.631788,-16.057661],[-57.633419,-16.050902],[-57.640371,-16.05527],[-57.641692194,-16.052917461],[-57.641691326,-16.052916913],[-57.641688172,-16.05291445],[-57.641685573,-16.052911408],[-57.64168363,-16.052907909],[-57.641682424,-16.052904094],[-57.641682,-16.052900115],[-57.641682378,-16.052896131],[-57.641683541,-16.052892302],[-57.641685443,-16.052888782],[-57.648068254,-16.043468296],[-57.648070888,-16.043465156],[-57.648074108,-16.043462619],[-57.648076141,-16.043461606],[-57.648076397,-16.043459035],[-57.648077582,-16.043455203],[-57.648079138,-16.043452362],[-57.635565,-16.035557]]]}"
34,são jorge,-16.0756680,-57.6588880,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.653847,-16.077717],[-57.667640236,-16.075356239],[-57.667639846,-16.075356056],[-57.667636807,-16.075353855],[-57.66688054,-16.0746895],[-57.666879824,-16.074690393],[-57.666876693,-16.074692982],[-57.666873104,-16.074694886],[-57.666869203,-16.074696024],[-57.666865154,-16.074696352],[-57.653123471,-16.074405462],[-57.653847,-16.077717]]]}"
35,DNER,-16.0799360,-57.6630870,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.657967,-16.082378],[-57.664404,-16.085963],[-57.671128506,-16.078621732],[-57.671128332,-16.078621601],[-57.667654788,-16.075369836],[-57.667653929,-16.075370816],[-57.667650847,-16.075373192],[-57.667647363,-16.075374926],[-57.66764361,-16.075375952],[-57.653862579,-16.077734624],[-57.657967,-16.082378]]]}"
36,santos dumont,-16.0871370,-57.6545610,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.650585,-16.08795],[-57.65095,-16.088163],[-57.649255,-16.090305],[-57.64904,-16.09949],[-57.654619,-16.095988],[-57.658997,-16.09162],[-57.661829,-16.088942],[-57.664390642,-16.085978453],[-57.657957269,-16.082395473],[-57.657954462,-16.082393582],[-57.657952015,-16.082391246],[-57.653847594,-16.07774787],[-57.65384533,-16.077744746],[-57.653843707,-16.077741246],[-57.653842787,-16.0777375],[-57.653842741,-16.077736536],[-57.653839167,-16.077735402],[-57.653835821,-16.077733584],[-57.653832881,-16.077731166],[-57.653830453,-16.077728233],[-57.653828624,-16.077724894],[-57.653827461,-16.077721269],[-57.653103932,-16.074409731],[-57.653103473,-16.074405748],[-57.653103534,-16.07440504],[-57.649984883,-16.074339023],[-57.650585,-16.08795]]]}"
37,lobo,-16.0900970,-57.6465840,Cáceres,2026-06-18 20:12:22,2026-06-18 20:12:22,"{""type"":""Polygon"",""coordinates"":[[[-57.648311,-16.08626],[-57.641873,-16.090216],[-57.643676,-16.092976],[-57.649172309,-16.092982975],[-57.649235005,-16.090304532],[-57.649235567,-16.09030027],[-57.649237027,-16.090296227],[-57.649239316,-16.090292589],[-57.650920017,-16.08816866],[-57.65057492,-16.087967274],[-57.650571693,-16.087964931],[-57.650568996,-16.087961994],[-57.650566935,-16.087958581],[-57.650565591,-16.087954827],[-57.650565019,-16.087950881],[-57.650564302,-16.087934618],[-57.648311,-16.08626]]]}"
40,nova era,-16.1007190,-57.6637230,Cáceres,2026-06-18 20:12:23,2026-06-18 20:12:23,"{""type"":""Polygon"",""coordinates"":[[[-57.666678,-16.108717],[-57.666979,-16.107439],[-57.667451,-16.107522],[-57.668352,-16.104555],[-57.667193,-16.104185],[-57.66685,-16.102578],[-57.668438,-16.102124],[-57.668481,-16.101053],[-57.669511,-16.100394],[-57.669082,-16.099158],[-57.669683,-16.097662],[-57.669253,-16.097085],[-57.668588,-16.095066],[-57.667041277,-16.095467002],[-57.667041783,-16.095469061],[-57.667041984,-16.095472796],[-57.667041486,-16.095476504],[-57.667040307,-16.095480053],[-57.667038487,-16.095483322],[-57.66703609,-16.095486194],[-57.667033201,-16.095488569],[-57.66702992,-16.095490365],[-57.667026361,-16.095491519],[-57.654545075,-16.098280408],[-57.666678,-16.108717]]]}"
